ddl_case_id,year,state_code,dist_code,court_no,cino,judge_position,female_defendant,female_petitioner,female_adv_def,female_adv_pet,type_name,purpose_name,disp_name,date_of_filing,date_of_decision,date_first_list,date_last_list,date_next_list
01-01-01-201908000052010,2010,01,01,01,MHNB030000192010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,2237,25,2010-01-05,2010-01-07,2010-01-07,2010-01-07,2010-01-07
01-01-01-201908000062010,2010,01,01,01,MHNB030000202010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,30,2010-01-06,2012-03-20,2010-01-21,2012-03-14,2012-03-20
01-01-01-201908000072010,2010,01,01,01,MHNB030000382010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3593,15,2010-01-12,2014-01-30,2010-01-25,2014-01-10,2014-01-30
01-01-01-201908000082010,2010,01,01,01,MHNB030000332010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3006,25,2010-01-13,2011-10-03,2010-01-28,2011-09-19,2011-10-03
01-01-01-201908000092010,2010,01,01,01,MHNB030002862010,chief judicial magistrate,-9998 unclear,1 female,-9998,0,1429,3734,25,2010-01-13,2010-02-02,2010-01-16,2010-01-25,2010-02-02
01-01-01-201908000102010,2010,01,01,01,MHNB030000412010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-01-16,2010-01-21,2010-01-21,2010-01-21,2010-01-21
01-01-01-201908000112010,2010,01,01,01,MHNB030002872010,chief judicial magistrate,-9998 unclear,1 female,-9998,0,1429,3734,25,2010-01-18,2010-02-02,2010-01-21,2010-01-27,2010-02-02
01-01-01-201908000122010,2010,01,01,01,MHNB030001722010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4882,25,2010-01-19,2011-07-01,2010-03-19,2011-06-13,2011-07-01
01-01-01-201908000132010,2010,01,01,01,MHNB030001672010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,3734,25,2010-01-20,2010-01-28,2010-01-20,2010-01-27,2010-01-28
01-01-01-201908000142010,2010,01,01,01,MHNB030000472010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3439,25,2010-01-20,2014-02-21,2010-04-20,2014-02-03,2014-02-21
01-01-01-201908000152010,2010,01,01,01,MHNB030003482010,chief judicial magistrate,0 male,0 male,-9999,0,1429,4946,25,2010-04-20,2011-03-31,2010-06-23,2011-02-28,2011-03-31
01-01-01-201908000162010,2010,01,01,01,MHNB030000462010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3439,25,2010-01-20,2011-08-25,2010-04-20,2011-06-13,2011-08-25
01-01-01-201908000172010,2010,01,01,01,MHNB030000482010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,4946,25,2010-01-20,2012-10-19,2010-04-20,2012-09-13,2012-10-19
01-01-01-201908000182010,2010,01,01,01,MHNB030000772010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4882,15,2010-01-29,2011-08-09,2010-01-29,2011-07-21,2011-08-09
01-01-01-201908000192010,2010,01,01,01,MHNB030000932010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4834,25,2010-02-01,2014-12-12,2010-03-02,2014-12-08,2014-12-12
01-01-01-201908000202010,2010,01,01,01,MHNB030003002010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734,25,2010-02-03,2011-09-26,2010-04-15,2011-09-20,2011-09-26
01-01-01-201908000212010,2010,01,01,01,MHNB030001042010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-02-05,2011-01-01,2010-02-05,2010-12-18,2011-01-01
01-01-01-201908000222010,2010,01,01,01,MHNB030001202010,chief judicial magistrate,0 male,1 female,1,-9998,1429,509,30,2010-02-09,2011-05-23,2010-02-09,2011-04-29,2011-05-23
01-01-01-201908000232010,2010,01,01,01,MHNB030001252010,chief judicial magistrate,-9998 unclear,0 male,-9998,-9998,1429,2237,25,2010-02-11,2010-04-28,2010-02-18,2010-04-27,2010-04-28
01-01-01-201908000242010,2010,01,01,01,MHNB030001272010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3627,22,2010-02-11,2013-07-01,2010-03-11,2013-06-12,2013-07-01
01-01-01-201908000252010,2010,01,01,01,MHNB030001372010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-02-15,2013-01-29,2010-03-15,2012-12-26,2013-01-29
01-01-01-201908000262010,2010,01,01,01,MHNB030001452010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,3734,25,2010-02-15,2010-02-20,2010-02-17,2010-02-17,2010-02-20
01-01-01-201908000272010,2010,01,01,01,MHNB030001492010,chief judicial magistrate,-9998 unclear,1 female,-9999,-9998,1429,3627,25,2010-02-18,2010-03-20,2010-02-22,2010-03-05,2010-03-20
01-01-01-201908000282010,2010,01,01,01,MHNB030001802010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,2237,25,2010-02-23,2010-02-26,2010-02-25,2010-02-25,2010-02-26
01-01-01-201908000292010,2010,01,01,01,MHNB030001902010,chief judicial magistrate,0 male,1 female,0,1,1429,3006,30,2010-02-25,2010-12-01,2010-03-18,2010-11-29,2010-12-01
01-01-01-201908000302010,2010,01,01,01,MHNB030002982010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3734,25,2010-02-26,2011-01-17,2010-04-12,2011-01-12,2011-01-17
01-01-01-201908000322010,2010,01,01,01,MHNB030002992010,chief judicial magistrate,0 male,1 female,0,-9998,1429,3280,30,2010-03-03,2013-12-16,2010-04-15,2013-11-16,2013-12-16
01-01-01-201908000332010,2010,01,01,01,MHNB030001992010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,1985,22,2010-03-04,2010-10-13,2010-03-26,2010-09-30,2010-10-13
01-01-01-201908000342010,2010,01,01,01,MHNB030002332010,chief judicial magistrate,1 female,1 female,-9999,0,1429,3627,22,2010-03-17,2013-10-19,2010-04-17,2013-10-11,2013-10-19
01-01-01-201908000352010,2010,01,01,01,MHNB030002532010,chief judicial magistrate,-9998 unclear,0 male,-9998,1,1429,2237,25,2010-03-17,2010-03-29,2010-03-19,2010-03-23,2010-03-26
01-01-01-201908000362010,2010,01,01,01,MHNB030003082010,chief judicial magistrate,0 male,1 female,0,-9998,1429,509,30,2010-03-25,2011-12-12,2010-04-30,2011-12-08,2011-12-12
01-01-01-201908000382010,2010,01,01,01,MHNB030003092010,chief judicial magistrate,0 male,1 female,0,1,1429,3734,25,2010-03-29,2011-10-15,2010-04-30,2011-09-18,2011-10-15
01-01-01-201908000392010,2010,01,01,01,MHNB030002562010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,25,2010-03-30,2011-05-09,2010-04-23,2011-04-15,2011-05-09
01-01-01-201908000402010,2010,01,01,01,MHNB030003742010,chief judicial magistrate,0 male,-9998 unclear,0,-9998,1429,509,25,2010-04-06,2010-07-27,2010-04-22,2010-07-09,2010-07-27
01-01-01-201908000412010,2010,01,01,01,MHNB030004462010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,4882,22,2010-04-06,2011-08-29,2010-05-17,2011-08-03,2011-08-29
01-01-01-201908000422010,2010,01,01,01,MHNB030002962010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,2237,25,2010-04-06,2010-04-08,2010-04-08,2010-04-08,2010-04-08
01-01-01-201908000432010,2010,01,01,01,MHNB030002922010,chief judicial magistrate,0 male,1 female,-9999,0,1429,1963,43,2010-04-07,2012-10-19,2010-04-07,2012-10-01,2012-10-19
01-01-01-201908000442010,2010,01,01,01,MHNB030002972010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,22,2010-04-07,2011-07-25,2010-04-12,2011-06-23,2011-07-25
01-01-01-201908000452010,2010,01,01,01,MHNB030003182010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,30,2010-04-08,2011-03-19,2010-04-21,2011-03-16,2011-03-19
01-01-01-201908000462010,2010,01,01,01,MHNB030003112010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734,22,2010-04-08,2013-06-27,2010-04-30,2013-06-14,2013-06-27
01-01-01-201908000472010,2010,01,01,01,MHNB030003172010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3734,43,2010-04-08,2014-10-18,2010-04-30,2014-09-23,2014-10-18
01-01-01-201908000482010,2010,01,01,01,MHNB030003162010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,1429,509,30,2010-04-08,2011-05-26,2010-05-03,2011-05-12,2011-05-26
01-01-01-201908000492010,2010,01,01,01,MHNB030008282010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3439,15,2010-04-12,2010-11-23,2010-08-25,2011-01-07,2011-02-28
01-01-01-201908000502010,2010,01,01,01,MHNB030003312010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,30,2010-04-15,2012-01-04,2010-05-15,2011-11-25,2012-01-04
01-01-01-201908000512010,2010,01,01,01,MHNB030003302010,chief judicial magistrate,0 male,1 female,0,0,1429,3280,30,2010-04-15,2013-08-13,2010-04-28,2013-08-02,2013-08-13
01-01-01-201908000522010,2010,01,01,01,MHNB030003622010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,25,2010-04-21,2011-01-10,2010-05-10,2010-12-27,2011-01-10
01-01-01-201908000532010,2010,01,01,01,MHNB030003752010,chief judicial magistrate,0 male,1 female,-9999,0,1429,1692,25,2010-04-23,2011-07-04,2010-05-29,2011-05-31,2011-07-04
01-01-01-201908000542010,2010,01,01,01,MHNB030003862010,chief judicial magistrate,-9998 unclear,1 female,-9998,0,1429,4882,25,2010-04-23,2010-07-07,2010-04-27,2010-06-19,2010-07-07
01-01-01-201908000552010,2010,01,01,01,MHNB030005112010,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1429,3734,22,2010-04-26,2015-06-11,2010-06-07,2015-05-29,2015-06-11
01-01-01-201908000562010,2010,01,01,01,MHNB030005102010,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1429,3734,22,2010-04-26,2015-06-11,2010-06-07,2015-05-29,2015-06-11
01-01-01-201908000592010,2010,01,01,01,MHNB030004152010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3006,25,2010-05-05,2012-10-10,2010-05-20,2012-09-16,2012-10-10
01-01-01-201908000602010,2010,01,01,01,MHNB030004262010,chief judicial magistrate,-9998 unclear,0 male,-9998,1,1429,509,25,2010-05-06,2010-05-26,2010-05-10,2010-05-25,2010-05-26
01-01-01-201908000612010,2010,01,01,01,MHNB030004172010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3280,30,2010-05-06,2012-06-14,2010-06-10,2012-04-26,2012-06-14
01-01-01-201908000622010,2010,01,01,01,MHNB030014022010,chief judicial magistrate,-9998 unclear,-9998 unclear,-9999,0,1429,3734,22,2010-05-07,2015-06-11,2011-11-29,2015-05-29,2015-06-11
01-01-01-201908000632010,2010,01,01,01,MHNB030004322010,chief judicial magistrate,1 female,0 male,-9999,1,1429,3627,25,2010-05-07,2010-05-12,2010-05-12,2010-05-12,2010-05-12
01-01-01-201908000642010,2010,01,01,01,MHNB030004412010,chief judicial magistrate,0 male,0 male,-9999,1,1429,3280,30,2010-05-10,2012-09-17,2010-06-07,2012-08-22,2012-09-17
01-01-01-201908000652010,2010,01,01,01,MHNB030004452010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3734,22,2010-05-12,2014-05-03,2010-05-25,2014-04-23,2014-05-03
01-01-01-201908000662010,2010,01,01,01,MHNB030004482010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,22,2010-05-13,2012-12-03,2010-05-17,2012-11-07,2012-12-03
01-01-01-201908000672010,2010,01,01,01,MHNB030004472010,chief judicial magistrate,0 male,0 male,-9999,1,1429,3734,22,2010-05-13,2011-07-29,2010-06-09,2011-07-06,2011-07-29
01-01-01-201908000682010,2010,01,01,01,MHNB030004832010,chief judicial magistrate,1 female,-9998 unclear,-9999,-9998,1429,3439,25,2010-05-26,2012-02-21,2010-05-26,2011-12-28,2012-02-21
01-01-01-201908000692010,2010,01,01,01,MHNB030004822010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-05-26,2010-06-07,2010-06-07,2010-06-07,2010-06-07
01-01-01-201908000702010,2010,01,01,01,MHNB030014152010,chief judicial magistrate,0 male,0 male,0,1,1429,509,25,2010-05-28,2015-07-27,2012-12-24,2015-06-19,2015-07-27
01-01-01-201908000712010,2010,01,01,01,MHNB030013222010,chief judicial magistrate,-9998 unclear,0 male,-9999,1,1429,3734,22,2010-05-28,2015-06-11,2011-03-01,2015-05-29,2015-06-11
01-01-01-201908000722010,2010,01,01,01,MHNB030004912010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,3734,25,2010-05-29,2010-06-09,2010-06-02,2010-06-07,2010-06-09
01-01-01-201908000732010,2010,01,01,01,MHNB030005672010,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1429,509,25,2010-05-29,2015-07-24,2010-06-17,2015-06-12,2015-07-24
01-01-01-201908000742010,2010,01,01,01,MHNB030005682010,chief judicial magistrate,-9998 unclear,0 male,-9999,0,1429,2237,30,2010-05-29,2013-04-29,2010-06-17,2013-04-12,2013-04-29
01-01-01-201908000752010,2010,01,01,01,MHNB030004982010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-05-31,2010-06-08,2010-06-03,2010-06-03,2010-06-08
01-01-01-201908000762010,2010,01,01,01,MHNB030005332010,chief judicial magistrate,-9998 unclear,0 male,0,-9998,1429,3734,25,2010-06-04,2010-06-10,2010-06-10,2010-06-10,2010-06-10
01-01-01-201908000772010,2010,01,01,01,MHNB030005192010,chief judicial magistrate,0 male,1 female,-9999,-9999,1429,3280,30,2010-06-07,2012-09-26,2010-07-07,2012-09-21,2012-09-26
01-01-01-201908000782010,2010,01,01,01,MHNB030005132010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-06-07,2010-06-15,2010-06-07,2010-06-10,2010-06-15
01-01-01-201908000792010,2010,01,01,01,MHNB030005172010,chief judicial magistrate,0 male,0 male,-9999,-9998,1429,3627,25,2010-06-07,2010-06-10,2010-06-08,2010-06-09,2010-06-10
01-01-01-201908000802010,2010,01,01,01,MHNB030005292010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-06-09,2010-06-30,2010-06-30,2010-06-30,2010-06-30
01-01-01-201908000812010,2010,01,01,01,MHNB030005492010,chief judicial magistrate,0 male,0 male,-9998,-9998,1429,3006,25,2010-06-11,2010-06-23,2010-06-17,2010-06-22,2010-06-23
01-01-01-201908000822010,2010,01,01,01,MHNB030005392010,chief judicial magistrate,-9998 unclear,0 male,-9998,0,1429,4882,25,2010-06-11,2011-09-21,2010-06-11,2011-08-29,2011-09-21
01-01-01-201908000842010,2010,01,01,01,MHNB030005582010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4882,22,2010-06-16,2012-11-28,2010-06-16,2012-10-11,2012-11-28
01-01-01-201908000852010,2010,01,01,01,MHNB030005642010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-06-16,2010-06-19,2010-06-18,2010-06-18,2010-06-19
01-01-01-201908000862010,2010,01,01,01,MHNB030005752010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-06-18,2011-03-22,2010-06-21,2011-02-25,2011-03-22
01-01-01-201908000882010,2010,01,01,01,MHNB030005922010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3280,30,2010-06-22,2011-11-09,2010-07-15,2011-10-31,2011-11-09
01-01-01-201908000892010,2010,01,01,01,MHNB030006112010,chief judicial magistrate,0 male,1 female,0,0,1429,1963,25,2010-06-24,2012-04-09,2010-07-17,2012-03-04,2012-04-09
01-01-01-201908000902010,2010,01,01,01,MHNB030013792010,chief judicial magistrate,0 male,-9998 unclear,-9999,-9998,1429,3627,25,2010-06-28,2011-04-19,2010-07-27,2011-04-18,2011-04-19
01-01-01-201908000912010,2010,01,01,01,MHNB030006172010,chief judicial magistrate,0 male,1 female,-9999,1,1429,3006,42,2010-06-28,2011-02-06,2010-07-30,2011-01-25,2011-02-06
01-01-01-201908000922010,2010,01,01,01,MHNB030006182010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734,22,2010-06-28,2014-02-15,2010-07-19,2014-01-20,2014-02-15
01-01-01-201908000932010,2010,01,01,01,MHNB030006202010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,25,2010-06-29,2011-02-02,2010-06-29,2011-01-17,2011-02-02
01-01-01-201908000942010,2010,01,01,01,MHNB030006242010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734,25,2010-06-29,2012-01-11,2010-06-29,2011-12-28,2012-01-11
01-01-01-201908000952010,2010,01,01,01,MHNB030007552010,chief judicial magistrate,0 male,1 female,0,0,1429,1963,22,2010-06-30,2012-08-07,2010-08-25,2012-06-15,2012-08-07
01-01-01-201908000962010,2010,01,01,01,MHNB030012752010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,25,2010-06-30,2012-10-01,2010-07-26,2012-09-16,2012-10-01
01-01-01-201908000972010,2010,01,01,01,MHNB030006382010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,509,25,2010-07-02,2012-07-16,2010-07-02,2012-07-12,2012-07-16
01-01-01-201908000982010,2010,01,01,01,MHNB030009742010,chief judicial magistrate,-9998 unclear,0 male,-9998,-9998,1429,3734,25,2010-07-05,2010-07-07,2010-07-05,2010-07-05,2010-07-07
01-01-01-201908000992010,2010,01,01,01,MHNB030006722010,chief judicial magistrate,0 male,1 female,-9999,1,1429,1692,43,2010-07-06,2013-12-18,2010-08-04,2013-11-12,2013-12-18
01-01-01-201908001002010,2010,01,01,01,MHNB030006762010,chief judicial magistrate,0 male,1 female,-9999,0,1429,1963,25,2010-07-07,2011-06-15,2010-08-11,2011-06-08,2011-06-15
01-01-01-201908001012010,2010,01,01,01,MHNB030006752010,chief judicial magistrate,0 male,1 female,-9999,0,1429,2237,25,2010-07-07,2013-06-10,2010-08-09,2013-06-05,2013-06-10
01-01-01-201908001022010,2010,01,01,01,MHNB030006742010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,509,25,2010-07-07,2010-07-16,2010-07-09,2010-07-12,2010-07-16
01-01-01-201908001032010,2010,01,01,01,MHNB030006862010,chief judicial magistrate,0 male,1 female,-9999,-9998,1429,4882,25,2010-07-08,2010-11-20,2010-08-10,2010-10-30,2010-11-20
01-01-01-201908001042010,2010,01,01,01,MHNB030006882010,chief judicial magistrate,1 female,1 female,-9999,1,1429,509,25,2010-07-09,2010-08-13,2010-07-12,2010-08-12,2010-08-13
01-01-01-201908001052010,2010,01,01,01,MHNB030006972010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,1352,25,2010-07-12,2015-12-01,2010-08-09,2015-11-17,2015-12-01
01-01-01-201908001062010,2010,01,01,01,MHNB030011752010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,1429,3734,30,2010-07-13,2010-12-09,2010-12-09,2010-12-09,2010-12-09
01-01-01-201908001072010,2010,01,01,01,MHNB030007152010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-07-15,2010-07-17,2010-07-17,2010-07-17,2010-07-17
01-01-01-201908001082010,2010,01,01,01,MHNB030007172010,chief judicial magistrate,0 male,1 female,-9999,0,1429,509,30,2010-07-15,2013-08-16,2010-08-17,2013-08-05,2013-08-16
01-01-01-201908001092010,2010,01,01,01,MHNB030007262010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3734,22,2010-07-17,2014-03-15,2010-07-27,2013-10-14,2014-03-15
01-01-01-201908001102010,2010,01,01,01,MHNB030007372010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3349,25,2010-07-19,2012-03-04,2010-07-26,2012-02-16,2012-03-04
01-01-01-201908001112010,2010,01,01,01,MHNB030007322010,chief judicial magistrate,0 male,1 female,1,0,1429,3280,30,2010-07-20,2013-09-26,2010-08-07,2013-09-20,2013-09-26
01-01-01-201908001122010,2010,01,01,01,MHNB030007422010,chief judicial magistrate,0 male,1 female,0,0,1429,3734,51,2010-07-22,2014-06-17,2010-08-09,2014-06-04,2014-06-17
01-01-01-201908001132010,2010,01,01,01,MHNB030007432010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,2237,25,2010-07-22,2010-08-13,2010-07-29,2010-08-12,2010-08-13
01-01-01-201908001142010,2010,01,01,01,MHNB030007532010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-07-23,2010-08-24,2010-08-06,2010-08-23,2010-08-24
01-01-01-201908001152010,2010,01,01,01,MHNB030007542010,chief judicial magistrate,-9998 unclear,1 female,-9999,0,1429,4834,15,2010-07-23,2014-09-17,2010-08-05,2014-08-22,2014-09-17
01-01-01-201908001162010,2010,01,01,01,MHNB030007602010,chief judicial magistrate,0 male,1 female,0,0,1429,1963,25,2010-07-26,2013-02-12,2010-08-26,2012-12-21,2013-02-12
01-01-01-201908001172010,2010,01,01,01,MHNB030007922010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,25,2010-07-26,2011-07-25,2010-08-26,2011-06-07,2011-07-25
01-01-01-201908001182010,2010,01,01,01,MHNB030007902010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3006,22,2010-07-26,2014-07-05,2010-08-26,2014-06-21,2014-07-05
01-01-01-201908001192010,2010,01,01,01,MHNB030007682010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,509,25,2010-07-27,2010-07-29,2010-07-28,2010-07-28,2010-07-29
01-01-01-201908001202010,2010,01,01,01,MHNB030007792010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,4299,25,2010-07-30,2010-07-31,2010-07-31,2010-07-31,2010-07-31
01-01-01-201908001212010,2010,01,01,01,MHNB030007852010,chief judicial magistrate,-9998 unclear,0 male,0,0,1429,509,25,2010-07-30,2011-03-08,2010-08-02,2011-02-28,2011-03-08
01-01-01-201908001222010,2010,01,01,01,MHNB030008012010,chief judicial magistrate,0 male,1 female,-9999,0,1429,509,30,2010-08-02,2011-05-25,2010-09-02,2011-05-10,2011-05-25
01-01-01-201908001232010,2010,01,01,01,MHNB030008092010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3437,1,2010-08-03,2015-04-10,2010-09-03,2015-03-16,2015-04-10
01-01-01-201908001242010,2010,01,01,01,MHNB030008122010,chief judicial magistrate,0 male,0 male,-9999,0,1429,3627,25,2010-08-04,2010-08-16,2010-08-09,2010-08-13,2010-08-16
01-01-01-201908001252010,2010,01,01,01,MHNB030008332010,chief judicial magistrate,0 male,1 female,0,0,1429,3280,30,2010-08-09,2012-10-23,2010-09-03,2012-10-08,2012-10-23
01-01-01-201908001262010,2010,01,01,01,MHNB030008442010,chief judicial magistrate,0 male,0 male,-9999,0,1429,1692,25,2010-08-12,2012-10-03,2010-09-14,2012-09-15,2012-10-03
01-01-01-201908001272010,2010,01,01,01,MHNB030008452010,chief judicial magistrate,-9998 unclear,0 male,0,-9998,1429,2237,25,2010-08-12,2010-08-20,2010-08-16,2010-08-16,2010-08-20
01-01-01-201908001282010,2010,01,01,01,MHNB030008492010,chief judicial magistrate,0 male,-9998 unclear,-9999,0,1429,3734,43,2010-08-12,2013-01-07,2010-09-13,2012-12-20,2013-01-07
01-01-01-201908001292010,2010,01,01,01,MHNB030013632010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3280,30,2010-08-17,2013-09-02,2011-03-11,2013-08-20,2013-09-02
01-01-01-201908001302010,2010,01,01,01,MHNB030008652010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-08-23,2011-02-25,2010-09-20,2010-12-28,2011-02-25
01-01-01-201908001312010,2010,01,01,01,MHNB030008742010,chief judicial magistrate,-9998 unclear,0 male,-9998,-9998,1429,3734,25,2010-08-23,2010-08-30,2010-08-25,2010-08-25,2010-08-30
01-01-01-201908001322010,2010,01,01,01,MHNB030009002010,chief judicial magistrate,-9998 unclear,1 female,0,0,1429,2237,25,2010-08-31,2010-09-09,2010-09-03,2010-09-06,2010-09-09
01-01-01-201908001332010,2010,01,01,01,MHNB030009772010,chief judicial magistrate,-9998 unclear,0 male,-9998,-9998,1429,2237,25,2010-09-01,2010-09-06,2010-09-01,2010-09-03,2010-09-06
01-01-01-201908001342010,2010,01,01,01,MHNB030009042010,chief judicial magistrate,0 male,1 female,0,1,1429,1963,25,2010-09-01,2012-09-01,2010-09-30,2012-08-16,2012-09-01
01-01-01-201908001352010,2010,01,01,01,MHNB030009022010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3627,25,2010-09-01,2012-03-12,2010-10-04,2012-02-07,2012-03-12
01-01-01-201908001362010,2010,01,01,01,MHNB030009122010,chief judicial magistrate,0 male,1 female,-9999,0,1429,3161,30,2010-09-06,2011-06-29,2010-09-06,2011-06-22,2011-06-29
01-01-01-201908001372010,2010,01,01,01,MHNB030009322010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4834,43,2010-09-16,2014-06-05,2010-10-13,2014-04-25,2014-06-05
01-01-01-201908001382010,2010,01,01,01,MHNB030011982010,chief judicial magistrate,0 male,1 female,-9999,0,1429,4882,25,2010-09-18,2012-11-08,2010-12-20,2012-11-06,2012-11-08
01-01-01-201908001392010,2010,01,01,01,MHNB030013882010,chief judicial magistrate,0 male,1 female,0,0,1429,4882,15,2010-09-18,2011-12-20,2011-06-06,2011-12-08,2011-12-20
